iter	PRAUC	Logloss
367	0.8197413076	0.5261312884
368	0.8198295982	0.5260135152
369	0.8198974872	0.525890295
370	0.8199906224	0.5257500541
371	0.8201095184	0.5256172816
372	0.8201736976	0.5255035183
373	0.8202149082	0.5254594902
374	0.8202623235	0.5253347379
375	0.8203102059	0.5252262849
376	0.8203575865	0.5251633835
377	0.8203902614	0.5251087366
378	0.8204552897	0.524988669
379	0.8205430647	0.5248769175
380	0.820595525	0.5248328421
381	0.8206755898	0.5247341747
382	0.820780356	0.5246168056
383	0.8208401365	0.5245165165
384	0.8209041854	0.5244022021
385	0.8209717501	0.5243092959
386	0.8210486546	0.5242052288
387	0.8211263269	0.5240981542
388	0.8212329603	0.5239411423
389	0.8213037894	0.5238509492
390	0.8213820742	0.5237451911
391	0.8214610742	0.5236317257
392	0.8215387507	0.5235273443
393	0.8215791095	0.5234710207
394	0.8216663762	0.523349624
395	0.8217623055	0.5232157676
396	0.8218105452	0.5231327747
397	0.8218671682	0.5230402478
398	0.8219771188	0.5228997162
399	0.8220581114	0.522791948
