model,threshold,accuracy,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp
catboost,0.560524232657858,0.7968888888888889,0.783943684184116,0.5619132151637691,0.5395894428152492,0.5547738693467337,0.5470763131813677,3034,471,443,552
baseline,0.5881070511928788,0.7944444444444444,0.7122138509953476,0.4985275204552639,0.5422705314009661,0.45125628140703516,0.4925946242457488,3126,379,546,449
